A supports []  supported by [ˤ]
 supports []  supported by [Ť]
 supports [Ï]  supported by [H, ʼ]
 supports [ǭ, ˞, ҷ]  supported by [Œ]
 supports [ű]  supported by [̆]
 supports [ɭ]  supported by [˙]
 supports []  supported by [˄]
 supports [ϑ]  supported by [ö, з]
 supports [j]  supported by [Ċ]
 supports [Ɂ, ɸ]  supported by [ѡ]
 supports []  supported by [Ú]
  supports [ǎ]  supported by [˺]
¡ supports []  supported by [ӑ]
¢ supports [ӏ]  supported by [Ę]
£ supports []  supported by [Ā]
¤ supports []  supported by [ő, ɋ]
¥ supports [ѣ]  supported by [ɉ]
¦ supports [ǲ]  supported by [́]
§ supports [ɪ, ѡ]  supported by [ͤ]
¨ supports [k]  supported by [ß]
© supports [Ć]  supported by [̷]
ª supports [̨]  supported by [Ѥ]
« supports [ҩ]  supported by [ϣ]
¬ supports [¹]  supported by [Z]
­ supports [s]  supported by [p]
® supports [̸]  supported by [˾]
¯ supports [Ư, ҁ]  supported by [Ι]
° supports [l, ȑ, ˛]  supported by [ʠ]
± supports []  supported by [Ǌ]
² supports [ô, Ų]  supported by [΍]
³ supports [Ȗ, ʁ]  supported by [ĳ]
´ supports [ǘ, ͘]  supported by [a, И]
µ supports [͋]  supported by [Ȥ]
¶ supports []  supported by [ӡ]
· supports [Ћ]  supported by [Ѱ]
¸ supports [̄, Ъ]  supported by [ѝ]
¹ supports []  supported by [¬]
º supports []  supported by [ā, ą]
» supports [Ď]  supported by [ϻ]
¼ supports [ɻ, ͡, ζ]  supported by [˭]
½ supports [˒]  supported by [͐]
¾ supports [ą, Д]  supported by [ʣ]
¿ supports [L, ȷ, Ҿ]  supported by [Ψ]
À supports [, Đ, ɗ]  supported by [Ŵ]
Á supports [ǡ]  supported by [ϝ]
Â supports [ȿ]  supported by [f]
Ã supports [ǒ]  supported by [Ϊ]
Ä supports [Ϝ]  supported by [Ƨ]
Å supports [, Š, ɇ]  supported by [ɟ]
Æ supports []  supported by [҄]
Ç supports []  supported by [ύ]
È supports [ȇ, Ȉ, ̻]  supported by [Ȏ]
É supports [̶]  supported by [N]
Ê supports []  supported by [Ǖ]
Ë supports [Ŧ, ή]  supported by [Ә]
Ì supports [ʿ]  supported by [ȼ]
Í supports [Ƀ]  supported by [ʻ]
Î supports [ć]  supported by [ʪ]
Ï supports []  supported by []
Ð supports [̍]  supported by [̦]
Ñ supports [ȵ, ͟]  supported by [ɐ]
Ò supports []  supported by [ɮ]
Ó supports [Γ]  supported by []
Ô supports [Б, ҃, Ӛ]  supported by [Ɉ]
Õ supports [Ű]  supported by [Ķ]
Ö supports []  supported by [Е]
× supports [о, ф]  supported by [ң]
Ø supports [η]  supported by [̥]
Ù supports [ļ, ʲ]  supported by [ê]
Ú supports []  supported by [r]
Û supports [ϼ]  supported by [Ӏ]
Ü supports [Ш]  supported by [˼]
Ý supports []  supported by [ā]
Þ supports []  supported by [ѣ]
ß supports [¨, Į]  supported by [Ϝ]
à supports [Ů]  supported by [ʐ]
á supports []  supported by []
â supports [ŝ]  supported by [Ƒ]
ã supports [ĺ]  supported by [ξ]
ä supports []  supported by [̀]
å supports [ɚ, ʔ]  supported by []
æ supports []  supported by [ι]
ç supports []  supported by [ſ, Ӊ]
è supports []  supported by [ː]
é supports [˧]  supported by [ɾ]
ê supports [Ù, ̵]  supported by [Χ]
ë supports [ҝ]  supported by [́]
ì supports [Ś]  supported by [ͥ]
í supports [Ƞ]  supported by [Ѭ]
î supports []  supported by [Ј]
ï supports [Р]  supported by [ɱ]
ð supports [Ȃ]  supported by [ƫ]
ñ supports [ň]  supported by [а]
ò supports [ɚ]  supported by []
ó supports [, Τ]  supported by [ɠ]
ô supports [ˏ]  supported by [²]
õ supports [ə]  supported by [Ȕ]
ö supports []  supported by []
÷ supports [Ϋ]  supported by [ˣ]
ø supports [Ÿ]  supported by [ȉ]
ù supports []  supported by [ɻ]
ú supports []  supported by [Ί]
û supports []  supported by [ȷ]
ü supports [˂]  supported by [т]
ý supports [̓]  supported by [ȟ]
þ supports [Ə]  supported by [Ӫ]
ÿ supports []  supported by [ͥ]
Ā supports [£, Ǯ]  supported by [I]
ā supports [z, º, Ý]  supported by [Ϩ]
Ă supports [ϯ, ӟ]  supported by []
ă supports []  supported by [Ǖ]
Ą supports []  supported by [Š]
ą supports [º, ɞ]  supported by [¾]
Ć supports [Ơ]  supported by [©]
ć supports [ł]  supported by [Î]
Ĉ supports [B, İ, ҵ]  supported by [ʸ]
ĉ supports [Ț]  supported by [Ͳ]
Ċ supports [, ɶ]  supported by [Ŧ, ή]
ċ supports [V, ̧]  supported by [̠, Ќ]
Č supports [ˑ, Ϫ]  supported by [ʞ]
č supports []  supported by [̭]
Ď supports []  supported by [»]
ď supports [̚, ̿]  supported by [Ł, Ѩ]
Đ supports []  supported by [À]
đ supports []  supported by [҄]
Ē supports []  supported by [Д]
ē supports [џ]  supported by [ӎ]
Ĕ supports [Ϩ]  supported by [T]
ĕ supports []  supported by [Р]
Ė supports [ӗ]  supported by [҇]
ė supports []  supported by [ȕ]
Ę supports [¢, ͸]  supported by [ѯ]
ę supports [Ʃ, Ǉ]  supported by [ȓ]
Ě supports [Ĳ]  supported by [С]
ě supports [ǚ, ȍ]  supported by [ѵ]
Ĝ supports []  supported by [ͦ]
ĝ supports []  supported by [́]
Ğ supports [Ō, Ύ]  supported by [ǳ]
ğ supports [˱, Φ]  supported by [̞]
Ġ supports [ϲ, г]  supported by [ξ]
ġ supports [Ʌ]  supported by [Ѫ]
Ģ supports [ǉ]  supported by [ҕ]
ģ supports [Ӂ]  supported by [ʃ]
Ĥ supports [͖, Җ]  supported by [Ǿ, Ҥ]
ĥ supports [ʢ]  supported by [҄]
Ħ supports [˄]  supported by [ƽ]
ħ supports []  supported by [Ѿ]
Ĩ supports [Ȁ, ʾ]  supported by [Ӎ]
ĩ supports [ʀ]  supported by [ƻ]
Ī supports [ʏ]  supported by [҉]
ī supports [Ӊ]  supported by [Ƈ]
Ĭ supports [į]  supported by [Ҩ]
ĭ supports []  supported by [š]
Į supports [ɜ]  supported by [ß]
į supports []  supported by [Ĭ]
İ supports []  supported by [Ĉ]
ı supports []  supported by [ɾ]
Ĳ supports [ʈ, ͫ]  supported by [Ě]
ĳ supports [³, ɓ]  supported by [p]
Ĵ supports [Ѿ]  supported by [͔]
ĵ supports [ź, Μ]  supported by [Ӡ]
Ķ supports [Õ]  supported by [ʀ]
ķ supports [κ]  supported by [ˎ]
ĸ supports []  supported by [b]
Ĺ supports [Ƅ]  supported by [Ƃ, С]
ĺ supports [Ǜ]  supported by [ã]
Ļ supports []  supported by [͹]
ļ supports [˵, ́, ϟ, Ϸ]  supported by [u, Ù, ̵]
Ľ supports [Ρ]  supported by [ʯ]
ľ supports []  supported by [ɥ]
Ŀ supports [Ȩ]  supported by [͍]
ŀ supports []  supported by [Ύ]
Ł supports [ď]  supported by [ѥ]
ł supports [G, ŉ, Щ]  supported by [ć]
Ń supports []  supported by [Ȟ]
ń supports [Ή, ο]  supported by [ʂ]
Ņ supports []  supported by [ӳ]
ņ supports [H, α, ε]  supported by [ʉ]
Ň supports [Ү]  supported by [ƶ, Ϭ]
ň supports [͢, у]  supported by [ñ]
ŉ supports [δ]  supported by [ł]
Ŋ supports [p]  supported by [Ţ]
ŋ supports [Ϥ]  supported by [Ȋ]
Ō supports []  supported by [Ğ]
ō supports [΋]  supported by [ǩ]
Ŏ supports [ƥ, ͹]  supported by [̋]
ŏ supports [~]  supported by [ȅ]
Ő supports [d]  supported by [ӂ]
ő supports [¤, ǳ]  supported by [;]
Œ supports [, ʹ]  supported by [Ɩ]
œ supports [Ѱ]  supported by [μ]
Ŕ supports [ϣ, л]  supported by [ў]
ŕ supports []  supported by [ѐ]
Ŗ supports [ƻ, ͨ, Π]  supported by []
ŗ supports []  supported by [̼]
Ř supports []  supported by [Ҧ]
ř supports []  supported by [Ȯ]
Ś supports []  supported by [ì]
ś supports [ˤ]  supported by [ɯ]
Ŝ supports [ʹ]  supported by [Ӈ]
ŝ supports []  supported by [â, ̗]
Ş supports []  supported by [ˋ]
ş supports [ʟ]  supported by [ȧ]
Š supports [Ą, м, ц]  supported by [Å]
š supports [ĭ]  supported by [̸]
Ţ supports [Ŋ]  supported by [ȼ]
ţ supports [̅, Ϊ, є]  supported by [ҽ]
Ť supports []  supported by [Ɠ]
ť supports [ʄ]  supported by [͏]
Ŧ supports [Ċ, ǜ, Ҷ]  supported by [Ë]
ŧ supports [я]  supported by [ʃ]
Ũ supports [λ]  supported by [˸]
ũ supports [Ѕ]  supported by [z]
Ū supports [Ɇ]  supported by [T]
ū supports [ɼ]  supported by [ǵ]
Ŭ supports [J]  supported by []
ŭ supports []  supported by [Ͱ]
Ů supports []  supported by [à]
ů supports [ͮ, я, Ӥ]  supported by [ʃ]
Ű supports [_]  supported by [Õ]
ű supports [ү]  supported by []
Ų supports [ҕ]  supported by [²]
ų supports []  supported by [Ґ]
Ŵ supports [À]  supported by [͋]
ŵ supports [̙]  supported by [ϛ]
Ŷ supports [ʦ]  supported by [Γ]
ŷ supports []  supported by [ϭ]
Ÿ supports [ͼ, ΂]  supported by [ø]
Ź supports []  supported by [д]
ź supports []  supported by [ĵ]
Ż supports []  supported by [ɞ]
ż supports [Ι]  supported by [Ѣ]
Ž supports []  supported by [ǜ]
ž supports []  supported by [W]
ſ supports [ç, ҂]  supported by [ѱ]
ƀ supports []  supported by [Ъ]
Ɓ supports [˸, ϊ]  supported by [ɿ]
Ƃ supports [Ĺ]  supported by [͚]
ƃ supports []  supported by [ι]
Ƅ supports [ǃ, ˴]  supported by [Ĺ]
ƅ supports []  supported by [Ҿ]
Ɔ supports [ʷ, ̋, ͎]  supported by [̘]
Ƈ supports [ī, ˚]  supported by [р]
ƈ supports [Ǥ]  supported by [˩]
Ɖ supports [Ȧ]  supported by [ʄ]
Ɗ supports []  supported by [̜]
Ƌ supports [˄]  supported by [У]
ƌ supports [C, ͑]  supported by [ѿ]
ƍ supports [Њ]  supported by [м]
Ǝ supports [ͭ, ͵, Х]  supported by [ɫ]
Ə supports [^]  supported by [þ]
Ɛ supports []  supported by [Ȫ]
Ƒ supports [â, ̗]  supported by [͊]
ƒ supports []  supported by [͡]
Ɠ supports [Ť]  supported by [̈́]
Ɣ supports [Ͻ]  supported by [Ǳ]
ƕ supports [t, М]  supported by [Ъ]
Ɩ supports [Œ]  supported by [Μ]
Ɨ supports [ґ]  supported by []
Ƙ supports []  supported by [Ƀ]
ƙ supports []  supported by [\]
ƚ supports [, ʘ]  supported by [Ѵ]
ƛ supports [ϰ]  supported by [һ]
Ɯ supports [Ǘ]  supported by [n]
Ɲ supports [Ӓ]  supported by [Ѭ]
ƞ supports []  supported by [π]
Ɵ supports [Ϳ]  supported by [Ϣ]
Ơ supports [ʆ, ҏ]  supported by [Ć]
ơ supports []  supported by [η]
Ƣ supports [̎]  supported by [ѻ]
ƣ supports [ҋ]  supported by [̛]
Ƥ supports [Ȏ]  supported by []
ƥ supports [ʻ, Δ]  supported by [Ŏ]
Ʀ supports [Ʌ, ҳ]  supported by [ʸ]
Ƨ supports [Ä]  supported by [ѫ]
ƨ supports []  supported by [l]
Ʃ supports [f, ˇ]  supported by [ę]
ƪ supports [ʰ]  supported by [ӥ]
ƫ supports [ð]  supported by [Ǭ]
Ƭ supports []  supported by [Q]
ƭ supports [ӌ]  supported by [i]
Ʈ supports [q]  supported by [ɨ]
Ư supports [͕]  supported by [¯]
ư supports []  supported by [Ǆ]
Ʊ supports []  supported by [ǫ, ̷]
Ʋ supports [ȕ, Ѹ]  supported by [ǥ]
Ƴ supports [ȴ]  supported by [ǩ]
ƴ supports [Ҝ]  supported by [΀]
Ƶ supports [Ͱ]  supported by [̮]
ƶ supports [Ň]  supported by [ʚ]
Ʒ supports [а]  supported by [Ƀ]
Ƹ supports [ӣ]  supported by [ͦ, Ө]
ƹ supports [̛, Ӭ]  supported by [d]
ƺ supports []  supported by [Ћ]
ƻ supports [, ĩ, ѵ]  supported by [Ŗ]
Ƽ supports [ɴ]  supported by [ʥ]
ƽ supports [Ħ]  supported by [ϊ]
ƾ supports [Ƚ, ˝]  supported by [΃]
ƿ supports []  supported by [Ǌ]
ǀ supports [ʑ, ѯ]  supported by [ί]
ǁ supports [͒]  supported by [ǒ]
ǂ supports []  supported by [Ҳ]
ǃ supports [γ]  supported by [Ƅ]
Ǆ supports [ư, ͱ]  supported by [ͬ]
ǅ supports []  supported by [ʳ]
ǆ supports []  supported by [Ǒ]
Ǉ supports [Ф]  supported by [ę]
ǈ supports [ȸ, ʝ, Η]  supported by [ȃ]
ǉ supports [ӭ]  supported by [Ģ]
Ǌ supports [±, ƿ]  supported by [Ҁ]
ǋ supports [, υ, Ч]  supported by [̟]
ǌ supports [m]  supported by [ɑ]
Ǎ supports [Ͼ]  supported by []
ǎ supports [y]  supported by [ ]
Ǐ supports []  supported by [ͱ]
ǐ supports [Ǩ]  supported by [Г]
Ǒ supports [ǆ]  supported by [ʨ]
ǒ supports [ǁ]  supported by [Ã]
Ǔ supports [˳, Υ]  supported by [̮]
ǔ supports []  supported by [ӟ]
Ǖ supports [Ê, ă]  supported by [ȅ, ʦ, Ҙ]
ǖ supports [͓]  supported by [г]
Ǘ supports [ϵ]  supported by [Ɯ]
ǘ supports [ҭ]  supported by [´]
Ǚ supports [Ǻ, ʊ, Ӄ]  supported by [Ѷ]
ǚ supports [̾, Ӗ]  supported by [ě]
Ǜ supports []  supported by [ĺ]
ǜ supports [Ž]  supported by [Ŧ, ҍ]
ǝ supports [ӎ, Ӕ]  supported by [ѱ]
Ǟ supports []  supported by [Ѻ]
ǟ supports []  supported by [̳]
Ǡ supports [ɔ, В]  supported by [ɓ]
ǡ supports []  supported by [Á]
Ǣ supports []  supported by [Ȭ]
ǣ supports []  supported by [ϗ]
Ǥ supports [ӡ]  supported by [ƈ]
ǥ supports [Ʋ]  supported by [ӆ]
Ǧ supports [Ͳ, С]  supported by [΃]
ǧ supports [Ѣ]  supported by [Қ]
Ǩ supports []  supported by [ǐ]
ǩ supports [ō, Ƴ]  supported by [ц]
Ǫ supports [Ҵ]  supported by [Ǭ]
ǫ supports [Ʊ]  supported by [ȋ]
Ǭ supports [ƫ, Ǫ]  supported by [Α]
ǭ supports [Q, ΁]  supported by []
Ǯ supports []  supported by [Ā]
ǯ supports []  supported by [Ϛ]
ǰ supports [ͽ, ϻ]  supported by [Ȯ]
Ǳ supports [Ɣ, ʋ]  supported by [˶]
ǲ supports [ʉ, ѹ]  supported by [¦]
ǳ supports [Ğ]  supported by [ő]
Ǵ supports []  supported by [ʩ]
ǵ supports [ū, ̴]  supported by [ɡ]
Ƕ supports [Ґ]  supported by [Ѡ]
Ƿ supports [D]  supported by [˖]
Ǹ supports [̕]  supported by [̏]
ǹ supports []  supported by [ɹ]
Ǻ supports [Ȭ]  supported by [Ǚ]
ǻ supports [ӯ]  supported by [ɓ]
Ǽ supports []  supported by [Σ]
ǽ supports [ͧ]  supported by [ɝ]
Ǿ supports [Ĥ]  supported by [ț]
ǿ supports [i]  supported by [Ѝ]
Ȁ supports []  supported by [Ĩ]
ȁ supports [Χ]  supported by [Ѝ]
Ȃ supports [I, ȳ]  supported by [ð]
ȃ supports [ǈ]  supported by [̤]
Ȅ supports [E]  supported by [р]
ȅ supports [ŏ, Ǖ]  supported by [ϫ]
Ȇ supports [`, ɭ]  supported by [ь]
ȇ supports []  supported by [È]
Ȉ supports [̂, ӊ]  supported by [È]
ȉ supports [ø, ɿ, ʗ]  supported by [D]
Ȋ supports [ŋ, ɰ]  supported by [й]
ȋ supports [ǫ, ̷]  supported by [̰]
Ȍ supports [˩]  supported by [г]
ȍ supports [ж, Ӗ]  supported by [ě]
Ȏ supports [È, ͞, ӳ]  supported by [Ƥ]
ȏ supports [˫, И]  supported by [ε]
Ȑ supports []  supported by [˫]
ȑ supports [ɬ]  supported by [°]
Ȓ supports [ϕ]  supported by [ț]
ȓ supports [ę]  supported by [ы]
Ȕ supports [õ, ϛ]  supported by []
ȕ supports [ė]  supported by [Ʋ]
Ȗ supports []  supported by [³]
ȗ supports []  supported by [э]
Ș supports [ɯ, Ӳ]  supported by [Ӎ]
ș supports [Ϡ]  supported by []
Ț supports []  supported by [ĉ]
ț supports [Ǿ, Ȓ, ̡, ϳ, Ҥ]  supported by [Ҍ]
Ȝ supports [̦]  supported by [Ҧ]
ȝ supports [P]  supported by [́]
Ȟ supports [Ń, ʵ]  supported by [ɳ]
ȟ supports [ý]  supported by []
Ƞ supports [Z, ѽ]  supported by [í]
ȡ supports [Қ]  supported by [g]
Ȣ supports []  supported by [Җ]
ȣ supports [Ӌ]  supported by [E]
Ȥ supports [µ]  supported by [ʇ]
ȥ supports [ʣ, Ν]  supported by [ѹ]
Ȧ supports []  supported by [Ɖ]
ȧ supports [ş, Є]  supported by [Ҡ]
Ȩ supports []  supported by [Ŀ, ͐]
ȩ supports [u, ɵ]  supported by [Χ]
Ȫ supports [Ɛ]  supported by [Ґ]
ȫ supports [˼]  supported by [N]
Ȭ supports [Ǣ]  supported by [Ǻ, Ӄ]
ȭ supports []  supported by []
Ȯ supports [ř, ǰ]  supported by [ψ]
ȯ supports [ы]  supported by [˷]
Ȱ supports [Ʉ, ̪]  supported by [ɬ]
ȱ supports [μ]  supported by [Ρ]
Ȳ supports [ͅ]  supported by [ː]
ȳ supports []  supported by [Ȃ]
ȴ supports [п]  supported by [Ƴ]
ȵ supports []  supported by [Ñ]
ȶ supports [ˣ]  supported by [ˀ]
ȷ supports [û, ϸ]  supported by [¿]
ȸ supports [S]  supported by [ǈ]
ȹ supports [ʼ]  supported by [ѹ]
Ⱥ supports []  supported by [ˁ]
Ȼ supports []  supported by [y]
ȼ supports [Ì, Ţ]  supported by [ˆ]
Ƚ supports []  supported by [ƾ]
Ⱦ supports [ѝ]  supported by [ˣ]
ȿ supports [e]  supported by [Â]
ɀ supports []  supported by [Ϗ]
Ɂ supports []  supported by []
ɂ supports []  supported by [Ҁ]
Ƀ supports [Ƙ, Ʒ, Ӯ]  supported by [Í]
Ʉ supports [ʐ]  supported by [Ȱ]
Ʌ supports []  supported by [ġ, Ʀ]
Ɇ supports []  supported by [Ū]
ɇ supports []  supported by [Å, ͸]
Ɉ supports [Ô]  supported by [в]
ɉ supports [¥]  supported by [ʨ]
Ɋ supports []  supported by [ʮ]
ɋ supports [¤]  supported by [;, ϸ]
Ɍ supports []  supported by [ͱ]
ɍ supports []  supported by [Ю]
Ɏ supports [ˬ]  supported by [ҁ]
ɏ supports []  supported by []]
ɐ supports [Ñ]  supported by [ʟ]
ɑ supports [ǌ]  supported by [~]
ɒ supports []  supported by [ϯ]
ɓ supports [Ǡ, ǻ]  supported by [ĳ]
ɔ supports [̽]  supported by [Ǡ]
ɕ supports []  supported by [Х]
ɖ supports []  supported by [α]
ɗ supports []  supported by [À]
ɘ supports [Ϗ]  supported by [ɝ]
ə supports []  supported by [õ]
ɚ supports [˺]  supported by [å, ò, ә]
ɛ supports [ь]  supported by [̔]
ɜ supports []  supported by [Į]
ɝ supports [ǽ, ɘ]  supported by [ɷ]
ɞ supports [, Ż, ϭ]  supported by [ą]
ɟ supports [Å, һ]  supported by [ʑ]
ɠ supports [ó, ϶]  supported by [ˌ]
ɡ supports [ǵ, ӈ]  supported by [̈]
ɢ supports [̺]  supported by [˪]
ɣ supports [̟, ѻ]  supported by [ͩ]
ɤ supports [˯]  supported by [ҫ]
ɥ supports [ľ]  supported by [͕]
ɦ supports []  supported by [W]
ɧ supports [ҟ]  supported by [ʬ]
ɨ supports [Ʈ]  supported by [ѯ]
ɩ supports []  supported by []
ɪ supports [͇, ϔ]  supported by [§]
ɫ supports [Ǝ, Ϧ]  supported by [˟]
ɬ supports [Ȱ]  supported by [ȑ]
ɭ supports []  supported by [, Ȇ]
ɮ supports [Ò]  supported by [ɸ]
ɯ supports [ś]  supported by [Ș]
ɰ supports [̲, σ]  supported by [Ȋ]
ɱ supports [ï]  supported by [ӥ]
ɲ supports []  supported by [ϵ]
ɳ supports [Ȟ]  supported by [ϱ]
ɴ supports [ͳ]  supported by [Ƽ]
ɵ supports []  supported by [ȩ]
ɶ supports [j, ˖]  supported by [Ċ]
ɷ supports [ɝ]  supported by [̩]
ɸ supports [, ɮ]  supported by []
ɹ supports [ǹ, β]  supported by [k]
ɺ supports [Ҏ]  supported by [҃]
ɻ supports [ù, Ї]  supported by [¼]
ɼ supports [κ]  supported by [ū]
ɽ supports []  supported by [ʜ]
ɾ supports [é, ı]  supported by [χ]
ɿ supports [Ɓ]  supported by [ȉ]
ʀ supports [Ķ]  supported by [ĩ]
ʁ supports [ͦ, Ө]  supported by [³]
ʂ supports [ń]  supported by [҃]
ʃ supports [ģ, ŧ, ů]  supported by [б]
ʄ supports [Ɖ]  supported by [ť, ʸ]
ʅ supports []  supported by [ʓ]
ʆ supports []  supported by [Ơ]
ʇ supports [Ȥ, Ҍ]  supported by [ʌ]
ʈ supports [˙]  supported by [Ĳ]
ʉ supports [ņ, ˕]  supported by [ǲ]
ʊ supports [͂, ι]  supported by [Ǚ]
ʋ supports []  supported by [Ǳ]
ʌ supports [ʇ]  supported by [΢]
ʍ supports []  supported by [ˍ]
ʎ supports []  supported by [ʠ]
ʏ supports [˿]  supported by [Ī]
ʐ supports [à]  supported by [Ʉ]
ʑ supports [ɟ, ˹]  supported by [ǀ]
ʒ supports [̩]  supported by [ӡ]
ʓ supports [ʅ]  supported by [ʣ]
ʔ supports [[]  supported by [å, ә]
ʕ supports [ͣ]  supported by [ʧ]
ʖ supports [ʩ]  supported by [Ψ]
ʗ supports [Ѷ]  supported by [ȉ]
ʘ supports []  supported by [ƚ]
ʙ supports [Ҩ]  supported by [ϼ]
ʚ supports [ƶ, Ϭ]  supported by [, қ]
ʛ supports [Ҽ]  supported by [Ҕ]
ʜ supports [ɽ]  supported by [ӥ]
ʝ supports []  supported by [ǈ]
ʞ supports [Č, Я]  supported by [Ѝ]
ʟ supports [ɐ]  supported by [ş]
ʠ supports [°, ʎ, ˔]  supported by [˹]
ʡ supports [Ұ]  supported by [Љ]
ʢ supports [ѓ]  supported by [ĥ]
ʣ supports [¾, ʓ, Ң]  supported by [ȥ]
ʤ supports [ђ]  supported by []
ʥ supports [Ƽ, Ј]  supported by [Ҏ]
ʦ supports [Ǖ]  supported by [Ŷ]
ʧ supports [ʕ]  supported by [҂]
ʨ supports [Ǒ, ɉ]  supported by [e]
ʩ supports [Ǵ]  supported by [ʖ]
ʪ supports [Î]  supported by [Ј]
ʫ supports [Ο]  supported by [Ф]
ʬ supports [ɧ, ̓]  supported by [̓]
ʭ supports [Ω]  supported by [˦]
ʮ supports [Ɋ, ˎ, Ӆ]  supported by [ъ]
ʯ supports [Ľ]  supported by [Ͳ]
ʰ supports [ʺ, ̉]  supported by [ƪ]
ʱ supports []  supported by [͡]
ʲ supports [Ҳ]  supported by [Ù]
ʳ supports [ǅ]  supported by []
ʴ supports [Ѭ]  supported by [Ѱ]
ʵ supports [҆, Ҙ]  supported by [Ȟ]
ʶ supports [ς]  supported by [Ͼ]
ʷ supports []  supported by [Ɔ]
ʸ supports [Ĉ, Ʀ, ʄ]  supported by [͏]
ʹ supports [̫, ҷ]  supported by [Œ]
ʺ supports [ӆ]  supported by [ʰ]
ʻ supports [Í]  supported by [ƥ]
ʼ supports []  supported by [ȹ]
ʽ supports [ӈ]  supported by [̈]
ʾ supports [Ѓ]  supported by [Ĩ]
ʿ supports []  supported by [Ì]
ˀ supports [ȶ]  supported by [Є]
ˁ supports [Ⱥ]  supported by [Ό]
˂ supports []  supported by [ü]
˃ supports []  supported by [̢]
˄ supports []  supported by [Ħ, Ƌ]
˅ supports [Ү]  supported by [ϕ]
ˆ supports [ȼ]  supported by [ͅ]
ˇ supports [҅]  supported by [Ʃ]
ˈ supports []  supported by [Z]
ˉ supports [к]  supported by [͙, ӛ]
ˊ supports [˥]  supported by [ϋ]
ˋ supports [Ş]  supported by [ϥ]
ˌ supports [ɠ]  supported by [Ь]
ˍ supports [ʍ]  supported by [W]
ˎ supports [ķ]  supported by [ʮ]
ˏ supports []  supported by [ô]
ː supports [è, Ȳ]  supported by [̑]
ˑ supports [, ч, ѱ]  supported by [Č]
˒ supports []  supported by [½]
˓ supports [Z]  supported by [ҙ]
˔ supports []  supported by [ʠ]
˕ supports [Ν, ѫ]  supported by [ʉ]
˖ supports [Ƿ, б]  supported by [ɶ]
˗ supports []  supported by [̻]
˘ supports []  supported by [ҏ]
˙ supports [, Ӡ]  supported by [ʈ]
